,Accident ID,Severity
0,1,Significant_Damage_And_Serious_Injuries
1,10,Highly_Fatal_And_Damaging
2,14,Minor_Damage_And_Injuries
3,17,Significant_Damage_And_Serious_Injuries
4,21,Highly_Fatal_And_Damaging
5,40,Highly_Fatal_And_Damaging
6,45,Highly_Fatal_And_Damaging
7,50,Significant_Damage_And_Serious_Injuries
8,52,Significant_Damage_And_Serious_Injuries
9,85,Minor_Damage_And_Injuries
10,95,Minor_Damage_And_Injuries
11,106,Minor_Damage_And_Injuries
12,111,Significant_Damage_And_Serious_Injuries
13,123,Highly_Fatal_And_Damaging
14,129,Highly_Fatal_And_Damaging
15,130,Minor_Damage_And_Injuries
16,132,Significant_Damage_And_Serious_Injuries
17,137,Minor_Damage_And_Injuries
18,159,Significant_Damage_And_Serious_Injuries
19,161,Significant_Damage_And_Serious_Injuries
20,162,Significant_Damage_And_Serious_Injuries
21,166,Minor_Damage_And_Injuries
22,170,Highly_Fatal_And_Damaging
23,173,Significant_Damage_And_Serious_Injuries
24,177,Significant_Damage_And_Serious_Injuries
25,180,Highly_Fatal_And_Damaging
26,182,Highly_Fatal_And_Damaging
27,183,Significant_Damage_And_Serious_Injuries
28,184,Highly_Fatal_And_Damaging
29,188,Minor_Damage_And_Injuries
30,190,Significant_Damage_And_Fatalities
31,191,Significant_Damage_And_Serious_Injuries
32,201,Significant_Damage_And_Fatalities
33,203,Significant_Damage_And_Serious_Injuries
34,206,Significant_Damage_And_Serious_Injuries
35,217,Significant_Damage_And_Fatalities
36,220,Significant_Damage_And_Serious_Injuries
37,221,Significant_Damage_And_Fatalities
38,225,Significant_Damage_And_Serious_Injuries
39,229,Minor_Damage_And_Injuries
40,231,Significant_Damage_And_Fatalities
41,232,Minor_Damage_And_Injuries
42,234,Highly_Fatal_And_Damaging
43,236,Highly_Fatal_And_Damaging
44,237,Highly_Fatal_And_Damaging
45,240,Significant_Damage_And_Serious_Injuries
46,245,Significant_Damage_And_Fatalities
47,250,Significant_Damage_And_Fatalities
48,252,Significant_Damage_And_Serious_Injuries
49,254,Minor_Damage_And_Injuries
50,261,Significant_Damage_And_Fatalities
51,265,Highly_Fatal_And_Damaging
52,266,Highly_Fatal_And_Damaging
53,271,Significant_Damage_And_Serious_Injuries
54,273,Significant_Damage_And_Serious_Injuries
55,274,Significant_Damage_And_Fatalities
56,275,Significant_Damage_And_Serious_Injuries
57,280,Significant_Damage_And_Fatalities
58,285,Significant_Damage_And_Serious_Injuries
59,292,Significant_Damage_And_Serious_Injuries
60,304,Significant_Damage_And_Fatalities
61,311,Significant_Damage_And_Fatalities
62,316,Highly_Fatal_And_Damaging
63,317,Significant_Damage_And_Serious_Injuries
64,318,Minor_Damage_And_Injuries
65,321,Minor_Damage_And_Injuries
66,322,Significant_Damage_And_Serious_Injuries
67,327,Highly_Fatal_And_Damaging
68,332,Minor_Damage_And_Injuries
69,338,Significant_Damage_And_Fatalities
70,356,Significant_Damage_And_Serious_Injuries
71,364,Significant_Damage_And_Serious_Injuries
72,372,Significant_Damage_And_Serious_Injuries
73,379,Highly_Fatal_And_Damaging
74,380,Significant_Damage_And_Serious_Injuries
75,384,Significant_Damage_And_Serious_Injuries
76,388,Significant_Damage_And_Fatalities
77,390,Highly_Fatal_And_Damaging
78,401,Significant_Damage_And_Fatalities
79,408,Significant_Damage_And_Serious_Injuries
80,413,Significant_Damage_And_Serious_Injuries
81,416,Minor_Damage_And_Injuries
82,426,Significant_Damage_And_Serious_Injuries
83,428,Significant_Damage_And_Fatalities
84,432,Significant_Damage_And_Fatalities
85,433,Significant_Damage_And_Serious_Injuries
86,437,Highly_Fatal_And_Damaging
87,440,Highly_Fatal_And_Damaging
88,444,Significant_Damage_And_Serious_Injuries
89,447,Minor_Damage_And_Injuries
90,451,Significant_Damage_And_Fatalities
91,461,Minor_Damage_And_Injuries
92,469,Significant_Damage_And_Serious_Injuries
93,470,Significant_Damage_And_Fatalities
94,481,Significant_Damage_And_Fatalities
95,483,Highly_Fatal_And_Damaging
96,490,Minor_Damage_And_Injuries
97,491,Minor_Damage_And_Injuries
98,494,Significant_Damage_And_Serious_Injuries
99,495,Minor_Damage_And_Injuries
100,497,Significant_Damage_And_Serious_Injuries
101,504,Significant_Damage_And_Fatalities
102,509,Significant_Damage_And_Serious_Injuries
103,511,Significant_Damage_And_Fatalities
104,513,Significant_Damage_And_Serious_Injuries
105,514,Significant_Damage_And_Fatalities
106,518,Significant_Damage_And_Fatalities
107,520,Minor_Damage_And_Injuries
108,526,Highly_Fatal_And_Damaging
109,529,Minor_Damage_And_Injuries
110,530,Minor_Damage_And_Injuries
111,532,Significant_Damage_And_Fatalities
112,536,Significant_Damage_And_Serious_Injuries
113,543,Significant_Damage_And_Fatalities
114,553,Significant_Damage_And_Serious_Injuries
115,559,Minor_Damage_And_Injuries
116,561,Highly_Fatal_And_Damaging
117,563,Significant_Damage_And_Serious_Injuries
118,566,Significant_Damage_And_Serious_Injuries
119,593,Minor_Damage_And_Injuries
120,595,Minor_Damage_And_Injuries
121,597,Significant_Damage_And_Fatalities
122,602,Minor_Damage_And_Injuries
123,604,Significant_Damage_And_Serious_Injuries
124,615,Significant_Damage_And_Serious_Injuries
125,617,Significant_Damage_And_Serious_Injuries
126,618,Significant_Damage_And_Fatalities
127,622,Highly_Fatal_And_Damaging
128,626,Minor_Damage_And_Injuries
129,633,Significant_Damage_And_Fatalities
130,636,Significant_Damage_And_Serious_Injuries
131,642,Minor_Damage_And_Injuries
132,648,Minor_Damage_And_Injuries
133,651,Significant_Damage_And_Serious_Injuries
134,653,Significant_Damage_And_Serious_Injuries
135,658,Minor_Damage_And_Injuries
136,659,Significant_Damage_And_Fatalities
137,660,Minor_Damage_And_Injuries
138,662,Minor_Damage_And_Injuries
139,665,Minor_Damage_And_Injuries
140,674,Significant_Damage_And_Fatalities
141,676,Highly_Fatal_And_Damaging
142,682,Highly_Fatal_And_Damaging
143,686,Significant_Damage_And_Fatalities
144,687,Significant_Damage_And_Serious_Injuries
145,692,Significant_Damage_And_Fatalities
146,699,Minor_Damage_And_Injuries
147,703,Minor_Damage_And_Injuries
148,706,Highly_Fatal_And_Damaging
149,708,Highly_Fatal_And_Damaging
150,714,Significant_Damage_And_Fatalities
151,719,Significant_Damage_And_Fatalities
152,721,Highly_Fatal_And_Damaging
153,725,Minor_Damage_And_Injuries
154,728,Minor_Damage_And_Injuries
155,733,Minor_Damage_And_Injuries
156,735,Significant_Damage_And_Serious_Injuries
157,736,Minor_Damage_And_Injuries
158,745,Minor_Damage_And_Injuries
159,762,Significant_Damage_And_Fatalities
160,768,Highly_Fatal_And_Damaging
161,773,Significant_Damage_And_Serious_Injuries
162,777,Highly_Fatal_And_Damaging
163,781,Significant_Damage_And_Fatalities
164,782,Minor_Damage_And_Injuries
165,797,Significant_Damage_And_Fatalities
166,801,Minor_Damage_And_Injuries
167,815,Significant_Damage_And_Serious_Injuries
168,818,Significant_Damage_And_Serious_Injuries
169,824,Significant_Damage_And_Fatalities
170,832,Minor_Damage_And_Injuries
171,834,Significant_Damage_And_Fatalities
172,842,Minor_Damage_And_Injuries
173,850,Minor_Damage_And_Injuries
174,855,Significant_Damage_And_Fatalities
175,860,Significant_Damage_And_Fatalities
176,865,Significant_Damage_And_Serious_Injuries
177,867,Significant_Damage_And_Fatalities
178,868,Significant_Damage_And_Fatalities
179,873,Significant_Damage_And_Serious_Injuries
180,876,Significant_Damage_And_Serious_Injuries
181,882,Significant_Damage_And_Fatalities
182,886,Significant_Damage_And_Serious_Injuries
183,887,Minor_Damage_And_Injuries
184,888,Significant_Damage_And_Fatalities
185,889,Significant_Damage_And_Serious_Injuries
186,898,Highly_Fatal_And_Damaging
187,902,Significant_Damage_And_Serious_Injuries
188,908,Significant_Damage_And_Serious_Injuries
189,909,Minor_Damage_And_Injuries
190,914,Minor_Damage_And_Injuries
191,927,Significant_Damage_And_Fatalities
192,940,Highly_Fatal_And_Damaging
193,944,Highly_Fatal_And_Damaging
194,950,Significant_Damage_And_Serious_Injuries
195,951,Significant_Damage_And_Serious_Injuries
196,953,Highly_Fatal_And_Damaging
197,956,Minor_Damage_And_Injuries
198,967,Significant_Damage_And_Fatalities
199,977,Significant_Damage_And_Fatalities
200,978,Significant_Damage_And_Fatalities
201,979,Minor_Damage_And_Injuries
202,982,Significant_Damage_And_Fatalities
203,989,Significant_Damage_And_Fatalities
204,990,Significant_Damage_And_Fatalities
205,999,Significant_Damage_And_Serious_Injuries
206,1005,Highly_Fatal_And_Damaging
207,1011,Minor_Damage_And_Injuries
208,1013,Significant_Damage_And_Fatalities
209,1015,Significant_Damage_And_Serious_Injuries
210,1018,Significant_Damage_And_Serious_Injuries
211,1021,Significant_Damage_And_Serious_Injuries
212,1022,Significant_Damage_And_Fatalities
213,1024,Significant_Damage_And_Serious_Injuries
214,1025,Minor_Damage_And_Injuries
215,1031,Significant_Damage_And_Serious_Injuries
216,1036,Minor_Damage_And_Injuries
217,1048,Significant_Damage_And_Fatalities
218,1050,Significant_Damage_And_Serious_Injuries
219,1055,Highly_Fatal_And_Damaging
220,1057,Significant_Damage_And_Serious_Injuries
221,1072,Significant_Damage_And_Fatalities
222,1075,Significant_Damage_And_Fatalities
223,1082,Significant_Damage_And_Serious_Injuries
224,1102,Minor_Damage_And_Injuries
225,1103,Minor_Damage_And_Injuries
226,1109,Significant_Damage_And_Fatalities
227,1114,Significant_Damage_And_Serious_Injuries
228,1116,Minor_Damage_And_Injuries
229,1123,Significant_Damage_And_Serious_Injuries
230,1127,Highly_Fatal_And_Damaging
231,1135,Significant_Damage_And_Fatalities
232,1143,Significant_Damage_And_Serious_Injuries
233,1144,Minor_Damage_And_Injuries
234,1147,Significant_Damage_And_Serious_Injuries
235,1149,Highly_Fatal_And_Damaging
236,1155,Significant_Damage_And_Serious_Injuries
237,1158,Minor_Damage_And_Injuries
238,1160,Significant_Damage_And_Serious_Injuries
239,1164,Highly_Fatal_And_Damaging
240,1170,Significant_Damage_And_Serious_Injuries
241,1175,Significant_Damage_And_Fatalities
242,1179,Significant_Damage_And_Serious_Injuries
243,1186,Minor_Damage_And_Injuries
244,1193,Significant_Damage_And_Serious_Injuries
245,1197,Minor_Damage_And_Injuries
246,1198,Minor_Damage_And_Injuries
247,1207,Significant_Damage_And_Serious_Injuries
248,1213,Highly_Fatal_And_Damaging
249,1217,Significant_Damage_And_Serious_Injuries
250,1226,Significant_Damage_And_Fatalities
251,1227,Minor_Damage_And_Injuries
252,1234,Highly_Fatal_And_Damaging
253,1238,Significant_Damage_And_Fatalities
254,1240,Minor_Damage_And_Injuries
255,1242,Minor_Damage_And_Injuries
256,1250,Significant_Damage_And_Fatalities
257,1251,Significant_Damage_And_Serious_Injuries
258,1256,Minor_Damage_And_Injuries
259,1258,Significant_Damage_And_Fatalities
260,1269,Significant_Damage_And_Fatalities
261,1270,Significant_Damage_And_Fatalities
262,1271,Minor_Damage_And_Injuries
263,1272,Highly_Fatal_And_Damaging
264,1279,Significant_Damage_And_Fatalities
265,1282,Minor_Damage_And_Injuries
266,1284,Significant_Damage_And_Serious_Injuries
267,1285,Highly_Fatal_And_Damaging
268,1286,Significant_Damage_And_Fatalities
269,1294,Significant_Damage_And_Fatalities
270,1305,Significant_Damage_And_Fatalities
271,1310,Significant_Damage_And_Serious_Injuries
272,1312,Significant_Damage_And_Fatalities
273,1325,Minor_Damage_And_Injuries
274,1333,Significant_Damage_And_Fatalities
275,1343,Significant_Damage_And_Serious_Injuries
276,1347,Highly_Fatal_And_Damaging
277,1348,Significant_Damage_And_Fatalities
278,1350,Highly_Fatal_And_Damaging
279,1355,Significant_Damage_And_Fatalities
280,1357,Significant_Damage_And_Serious_Injuries
281,1371,Significant_Damage_And_Fatalities
282,1378,Significant_Damage_And_Fatalities
283,1393,Significant_Damage_And_Fatalities
284,1398,Significant_Damage_And_Fatalities
285,1405,Highly_Fatal_And_Damaging
286,1406,Significant_Damage_And_Fatalities
287,1407,Significant_Damage_And_Fatalities
288,1421,Highly_Fatal_And_Damaging
